8;Дизельне паливо (Євро 5), картка, 1л;20236647;Код ДК 021-2015 (CPV): 09100000-0 - Паливо;214700;2023-08-29 10:45:00+03;Завершена;UA-2023-08-29-002790-a;Державна або публічна установа ;Запит (ціни) пропозицій
9;Папір та паперові вироби;17535825;Код ДК 021-2015 (CPV): 30100000-0 - Офісні техніка, устаткування та приладдя, крім комп’ютерів, принтерів та меблів;59520;2022-12-09 23:43:00+02;Завершена;UA-2022-12-09-021635-a;Державна або публічна установа ;Закупівля без використання електронної системи
10;Державний прапор;17255886;Код ДК 021-2015 (CPV): 35800000-2 - Індивідуальне обмундирування та допоміжне екіпірування;22000;2022-11-18 15:31:00+02;Завершена;UA-2022-11-18-011818-a;Державна або публічна установа ;Закупівля без використання електронної системи
11;Запасні частини до легкових автомобілів (автошини);17197575;Код ДК 021-2015 (CPV): 34300000-0 - Частини та приладдя до транспортних засобів і їх двигунів;35448;2022-11-14 16:46:00+02;Завершена;UA-2022-11-14-014045-a;Державна або публічна установа ;Закупівля без використання електронної системи
12;Послуги з ремонту військової техніки та транспортних засобів спеціального призначення;15450659;Код ДК 021-2015 (CPV): 50600000-1 - Послуги з ремонту і технічного обслуговування захисних і оборонних ресурсів;2500000;2022-03-14 23:16:00+02;Завершена;UA-2022-03-14-004025-a;Державна або публічна установа ;Закупівля без використання електронної системи
13;Вироби канцелярські, паперові;15443473;Код ДК 021-2015 (CPV): 30100000-0 - Офісні техніка, устаткування та приладдя, крім комп’ютерів, принтерів та меблів;4500.25;2022-03-13 23:15:00+02;Завершена;UA-2022-03-13-000071-b;Державна або публічна установа ;Закупівля без використання електронної системи
14;Послуги з харчування військовослужбовців;15413430;Код ДК 021-2015 (CPV): 55300000-3 - Ресторанні послуги та послуги з організації харчування;98000;2022-03-04 11:42:00+02;Завершена;UA-2022-03-04-001019-a;Державна або публічна установа ;Закупівля без використання електронної системи
31;Послуги з висвітлення діяльності Запорізької обласної державної адміністрації друкованим способом;14530273;Код ДК 021-2015 (CPV): 79800000-2 - Друкарські та супутні послуги;19980;2021-12-28 16:56:00+02;Завершена;UA-2021-12-28-006740-b;Державна або публічна установа ;Закупівля без використання електронної системи
15;Послуги на право користування аналітично-інформаційною системою ”Місцеві бюджети рівня розпорядника бюджетних коштів»” з подальшим адмініструванням, супроводженням і обслуговуванням;15273910;Код ДК 021-2015 (CPV): 72200000-7 - Послуги з програмування та консультаційні послуги з питань програмного забезпечення;2735;2022-02-17 18:14:00+02;Завершена;UA-2022-02-17-016298-b;Державна або публічна установа ;Закупівля без використання електронної системи
16;Авторський супровід програмного забезпечення;15010820;Код ДК 021-2015 (CPV): 72200000-7 - Послуги з програмування та консультаційні послуги з питань програмного забезпечення;26340;2022-02-03 12:31:00+02;Завершена;UA-2022-02-03-001194-a;Державна або публічна установа ;Закупівля без використання електронної системи
17;Технічне обслуговування та ремонт автошин і колесних дисків автомобілів;14998673;Код ДК 021-2015 (CPV): 50100000-6 - Послуги з ремонту, технічного обслуговування транспортних засобів і супутнього обладнання та супутні послуги;2000;2022-02-02 18:28:00+02;Завершена;UA-2022-02-02-007284-c;Державна або публічна установа ;Закупівля без використання електронної системи
25;Послуги спецзв’язку;14998025;Код ДК 021-2015 (CPV): 64100000-7 - Поштові та кур’єрські послуги;7920;2022-02-02 17:37:00+02;Завершена;UA-2022-02-02-007090-c;Державна або публічна установа ;Закупівля без використання електронної системи
26;Послуги з прибирання офісних приміщень;14944798;Код ДК 021-2015 (CPV): 90900000-6 - Послуги з прибирання та санітарно-гігієнічні послуги;24000;2022-01-31 17:15:00+02;Завершена;UA-2022-01-31-002923-a;Державна або публічна установа ;Закупівля без використання електронної системи
27;Послуги з висвітлення діяльності Запорізької обласної державної адміністрації друкованим способом;14941792;Код ДК 021-2015 (CPV): 79800000-2 - Друкарські та супутні послуги;6000;2022-01-31 16:20:00+02;Завершена;UA-2022-01-31-010262-b;Державна або публічна установа ;Закупівля без використання електронної системи
28;Протяжний сканер;14531687;Код ДК 021-2015 (CPV): 30200000-1 - Комп’ютерне обладнання та приладдя;28000;2021-12-28 17:35:00+02;Завершена;UA-2021-12-28-007122-b;Державна або публічна установа ;Закупівля без використання електронної системи
29;Кріплення для телевізорів;14531239;Код ДК 021-2015 (CPV): 39100000-3 - Меблі;7930;2021-12-28 17:23:00+02;Завершена;UA-2021-12-28-013554-c;Державна або публічна установа ;Закупівля без використання електронної системи
30;Програмне забезпечення «Комп’ютерна програма «Дебет плюс V12»;14530802;Код ДК 021-2015 (CPV): 48400000-2 - Пакети програмного забезпечення для управління діловими операціями та електронних особистих органайзерів;16800;2021-12-28 17:11:00+02;Завершена;UA-2021-12-28-013316-c;Державна або публічна установа ;Закупівля без використання електронної системи
32;Програмні криптографічні засоби захисту інформації;14416730;Код ДК 021-2015 (CPV): 48700000-5 - Утиліти для розробки програмного забезпечення;96500;2021-12-22 17:49:00+02;Завершена;UA-2021-12-22-010004-b;Державна або публічна установа ;Закупівля без використання електронної системи
33;Марковані конверти;14375871;Код ДК 021-2015 (CPV): 22400000-4 - Марки, чекові бланки, банкноти, сертифікати акцій, рекламні матеріали, каталоги та посібники;15991;2021-12-21 17:57:00+02;Завершена;UA-2021-12-21-010308-b;Державна або публічна установа ;Закупівля без використання електронної системи
34;Послуги телефонного зв’язку з використанням IP-протоколу;14337072;Код ДК 021-2015 (CPV): 64200000-8 - Телекомунікаційні послуги;36000;2021-12-20 19:39:00+02;Завершена;UA-2021-12-20-004840-a;Державна або публічна установа ;Спрощені закупівлі
35;Послуги з доступу до мережі Інтернет;14334857;Код ДК 021-2015 (CPV): 72400000-4 - Інтернет-послуги;60720;2021-12-20 17:52:00+02;Завершена;UA-2021-12-20-020432-c;Державна або публічна установа ;Спрощені закупівлі
36;Платформенна підтримка веб-порталу адміністративних послуг Запорізької області;14291070;Код ДК 021-2015 (CPV): 72500000-0 - Послуги, пов’язані з комп’ютерними технологіями;186930;2021-12-17 19:39:00+02;Завершена;UA-2021-12-17-010562-b;Державна або публічна установа ;Закупівля без використання електронної системи
37;Придбання меблів;14126378;Код ДК 021-2015 (CPV): 39100000-3 - Меблі;198000;2021-12-13 20:17:00+02;Завершена;UA-2021-12-13-004949-b;Державна або публічна установа ;Спрощені закупівлі
38;Вироби канцелярські, паперові;14090898;Код ДК 021-2015 (CPV): 30100000-0 - Офісні техніка, устаткування та приладдя, крім комп’ютерів, принтерів та меблів;66000;2021-12-12 19:11:00+02;Завершена;UA-2021-12-12-000239-b;Державна або публічна установа ;Спрощені закупівлі
39;Планшет;14085537;Код ДК 021-2015 (CPV): 30200000-1 - Комп’ютерне обладнання та приладдя;10000;2021-12-10 18:59:00+02;Завершена;UA-2021-12-10-005267-b;Державна або публічна установа ;Спрощені закупівлі
40;Створення Системи «Автоматизована система диспетчерського управління на автомобільному транспорті (геоінформаційна система внутрішньообласних автобусних маршрутів загального користування)»;14085145;Код ДК 021-2015 (CPV): 48300000-1 - Пакети програмного забезпечення для роботи з документами, графікою, зображеннями, планування часу та офісного програмного забезпечення;196000;2021-12-10 18:25:00+02;Завершена;UA-2021-12-10-018494-c;Державна або публічна установа ;Спрощені закупівлі
41;Засіб криптографічного захисту інформації;14029282;Код ДК 021-2015 (CPV): 32500000-8 - Телекомунікаційне обладнання та приладдя;3672;2021-12-09 13:17:00+02;Завершена;UA-2021-12-09-004211-a;Державна або публічна установа ;Закупівля без використання електронної системи
42;Передплата періодичних видань;14021432;Код ДК 021-2015 (CPV): 64100000-7 - Поштові та кур’єрські послуги;12039.16;2021-12-09 11:31:00+02;Завершена;UA-2021-12-09-001903-b;Державна або публічна установа ;Закупівля без використання електронної системи
43;Технічне обслуговування і поточний ремонт офісної, комп'ютерної та копіювальної техніки;13935664;Код ДК 021-2015 (CPV): 50300000-8 - Ремонт, технічне обслуговування персональних комп’ютерів, офісного, телекомунікаційного та аудіовізуального обладнання, а також супутні послуги;13800;2021-12-06 17:25:00+02;Завершена;UA-2021-12-06-007491-a;Державна або публічна установа ;Закупівля без використання електронної системи
44;Державні прапори та прапори Запорізької області;13935067;Код ДК 021-2015 (CPV): 35800000-2 - Індивідуальне обмундирування та допоміжне екіпірування;30000;2021-12-06 17:15:00+02;Завершена;UA-2021-12-06-004448-b;Державна або публічна установа ;Закупівля без використання електронної системи
45;Виготовлення бланків листів (розпоряджень, листів, реєстраційних журналів тощо);13930233;Код ДК 021-2015 (CPV): 22800000-8 - Паперові чи картонні реєстраційні журнали, бухгалтерські книги, швидкозшивачі, бланки та інші паперові канцелярські вироби;43999.4;2021-12-06 16:53:00+02;Завершена;UA-2021-12-06-004308-b;Державна або публічна установа ;Закупівля без використання електронної системи
46;Програмне забезпечення «ESET Endpoint Antivirus»;13922490;Код ДК 021-2015 (CPV): 48700000-5 - Утиліти для розробки програмного забезпечення;40776;2021-12-06 14:39:00+02;Завершена;UA-2021-12-06-011057-c;Державна або публічна установа ;Закупівля без використання електронної системи
47;Система відеоконференцзв'язку;13836365;Код ДК 021-2015 (CPV): 32200000-5 - Передавальна апаратура для радіотелефонії, радіотелеграфії, радіомовлення і телебачення;57000;2021-12-01 19:44:00+02;Завершена;UA-2021-12-01-015525-c;Державна або публічна установа ;Спрощені закупівлі
48;Кондиціонери;13806229;Код ДК 021-2015 (CPV): 39700000-9 - Побутова техніка;80000;2021-11-30 18:06:00+02;Завершена;UA-2021-11-30-006067-b;Державна або публічна установа ;Спрощені закупівлі
49;Бензин А-95 (Євро 5);13806066;Код ДК 021-2015 (CPV): 09100000-0 - Паливо;150400;2021-11-30 17:53:00+02;Завершена;UA-2021-11-30-006030-b;Державна або публічна установа ;Спрощені закупівлі
50;Придбання паперу;13805588;Код ДК 021-2015 (CPV): 30100000-0 - Офісні техніка, устаткування та приладдя, крім комп’ютерів, принтерів та меблів;100000;2021-11-30 17:29:00+02;Завершена;UA-2021-11-30-011209-c;Державна або публічна установа ;Спрощені закупівлі
51;Придбання конвертів;13805386;Код ДК 021-2015 (CPV): 30100000-0 - Офісні техніка, устаткування та приладдя, крім комп’ютерів, принтерів та меблів;10000;2021-11-30 17:20:00+02;Завершена;UA-2021-11-30-005870-b;Державна або публічна установа ;Спрощені закупівлі
52;Телевізори;13805182;Код ДК 021-2015 (CPV): 32300000-6 - Радіо- і телевізійні приймачі, апаратура для запису та відтворення аудіо- та відеоматеріалу;48000;2021-11-30 17:13:00+02;Завершена;UA-2021-11-30-003039-a;Державна або публічна установа ;Спрощені закупівлі
53;Придбання серверного обладнання;13804272;Код ДК 021-2015 (CPV): 30200000-1 - Комп’ютерне обладнання та приладдя;90900;2021-11-30 16:45:00+02;Завершена;UA-2021-11-30-002918-a;Державна або публічна установа ;Спрощені закупівлі
54;Периферійне обладнання;13804021;Код ДК 021-2015 (CPV): 30200000-1 - Комп’ютерне обладнання та приладдя;22000;2021-11-30 16:39:00+02;Завершена;UA-2021-11-30-005493-b;Державна або публічна установа ;Спрощені закупівлі
55;Оперативна пам'ять для ноутбуків;13803767;Код ДК 021-2015 (CPV): 30200000-1 - Комп’ютерне обладнання та приладдя;72000;2021-11-30 16:33:00+02;Завершена;UA-2021-11-30-010288-c;Державна або публічна установа ;Спрощені закупівлі
56;Мережева система зберігання даних;13803108;Код ДК 021-2015 (CPV): 48800000-6 - Інформаційні системи та сервери;60000;2021-11-30 16:26:00+02;Завершена;UA-2021-11-30-002805-a;Державна або публічна установа ;Спрощені закупівлі
57;Програмне забезпечення «M.E.DOC»;13726556;Код ДК 021-2015 (CPV): 48400000-2 - Пакети програмного забезпечення для управління діловими операціями та електронних особистих органайзерів;1700;2021-11-25 19:27:00+02;Завершена;UA-2021-11-25-015623-a;Державна або публічна установа ;Закупівля без використання електронної системи
58;Послуги зі створення та атестація комплексу ТЗІ;13362827;Код ДК 021-2015 (CPV): 71300000-1 - Інженерні послуги;49792.48;2021-11-08 17:02:00+02;Завершена;UA-2021-11-08-014622-b;Державна або публічна установа ;Закупівля без використання електронної системи
59;Послуги з монтажу засобів ТЗІ;13361975;Код ДК 021-2015 (CPV): 51100000-3 - Послуги зі встановлення електричного та механічного обладнання;5603.94;2021-11-08 16:46:00+02;Завершена;UA-2021-11-08-002659-a;Державна або публічна установа ;Закупівля без використання електронної системи
60;Послуги спецзв’язку;13041578;Код ДК 021-2015 (CPV): 64100000-7 - Поштові та кур’єрські послуги;3000;2021-10-20 19:07:00+03;Завершена;UA-2021-10-20-013496-b;Державна або публічна установа ;Закупівля без використання електронної системи
61;Програмна продукція «SX-Government»;12848789;Код ДК 021-2015 (CPV): 48800000-6 - Інформаційні системи та сервери;124000;2021-10-06 21:10:00+03;Завершена;UA-2021-10-06-003456-a;Державна або публічна установа ;Закупівля без використання електронної системи
62;Засіб криптографічного захисту інформації;12325365;Код ДК 021-2015 (CPV): 32500000-8 - Телекомунікаційне обладнання та приладдя;10200;2021-09-03 17:36:00+03;Завершена;UA-2021-09-03-011127-c;Державна або публічна установа ;Спрощені закупівлі
63;Послуги з програмного супроводу веб-порталу Запорізької облдержадміністрації;12298378;Код ДК 021-2015 (CPV): 72500000-0 - Послуги, пов’язані з комп’ютерними технологіями;15000;2021-09-02 15:10:00+03;Завершена;UA-2021-09-02-003826-b;Державна або публічна установа ;Закупівля без використання електронної системи
64;Засоби технічного захисту інформації;12297062;Код ДК 021-2015 (CPV): 35100000-5 - Аварійне та охоронне обладнання;15360;2021-09-02 14:48:00+03;Завершена;UA-2021-09-02-003568-b;Державна або публічна установа ;Закупівля без використання електронної системи
65;Мережеве обладнання;12123399;Код ДК 021-2015 (CPV): 32400000-7 - Мережі;4869;2021-08-19 10:13:00+03;Завершена;UA-2021-08-19-000421-b;Державна або публічна установа ;Закупівля без використання електронної системи
